lead_id,advisor_crd,contacted_date,predicted_score,actual_converted,driver_1_feature,driver_1_shap,driver_1_value,driver_1_direction,driver_2_feature,driver_2_shap,driver_2_value,driver_2_direction,driver_3_feature,driver_3_shap,driver_3_value,driver_3_direction
lead_46,0,2024-12-22 00:00:00,0.26295703649520874,0,num_prior_firms,0.12244446575641632,8.0,increases,firm_aum_pit,-0.12064078450202942,41695726722.0,decreases,industry_tenure_months,-0.08223915100097656,341.0,decreases
lead_47,0,2024-12-23 00:00:00,0.27129125595092773,0,current_firm_tenure_months,0.11881470680236816,50.0,increases,firm_net_change_12mo,0.0648425966501236,-2394.0,increases,days_in_gap,0.06166234612464905,153.0,increases
lead_48,0,2024-12-24 00:00:00,0.19862423837184906,0,days_in_gap,-0.1153976172208786,151.0,decreases,industry_tenure_months,-0.08484227955341339,410.0,decreases,num_prior_firms,0.0475645512342453,4.0,increases
lead_49,0,2024-12-25 00:00:00,0.03633710369467735,0,current_firm_tenure_months,-0.15558955073356628,171.0,decreases,days_in_gap,-0.028761882334947586,150.0,decreases,industry_tenure_months,-0.01990782469511032,671.0,decreases
lead_50,0,2024-12-26 00:00:00,0.18225383758544922,0,firm_rep_count_at_contact,-0.061060428619384766,2.0,decreases,days_in_gap,-0.056310951709747314,159.0,decreases,industry_tenure_months,-0.03107219934463501,127.0,decreases
lead_51,0,2024-12-27 00:00:00,0.3926304280757904,0,num_prior_firms,0.11188676953315735,5.0,increases,current_firm_tenure_months,0.08940592408180237,66.0,increases,firm_rep_count_at_contact,0.08180531859397888,2.0,increases
lead_52,0,2024-12-28 00:00:00,0.3329980671405792,0,num_prior_firms,0.0999537855386734,4.0,increases,days_in_gap,0.09478181600570679,450.0,increases,industry_tenure_months,-0.09370559453964233,155.0,decreases
lead_53,0,2024-12-29 00:00:00,0.28108394145965576,0,firm_rep_count_at_contact,0.1283775120973587,164.0,increases,firm_aum_pit,-0.11655983328819275,41695726722.0,decreases,current_firm_tenure_months,0.11317865550518036,26.0,increases
lead_54,0,2024-12-30 00:00:00,0.45971059799194336,0,days_in_gap,0.20396867394447327,243.0,increases,current_firm_tenure_months,0.178308367729187,9.0,increases,firm_rep_count_at_contact,0.17146694660186768,166.0,increases
lead_55,0,2024-12-31 00:00:00,0.035147182643413544,0,current_firm_tenure_months,-0.1673952341079712,242.0,decreases,industry_tenure_months,-0.008027363568544388,365.0,decreases,days_in_gap,0.006516076624393463,2896.0,increases
lead_56,0,2025-01-01 00:00:00,0.2551230490207672,0,industry_tenure_months,-0.13136303424835205,525.0,decreases,current_firm_tenure_months,0.09045138955116272,84.0,increases,days_in_gap,0.06578682363033295,76.0,increases
lead_57,0,2025-01-02 00:00:00,0.31799474358558655,0,firm_rep_count_at_contact,0.07841414213180542,0.0,increases,days_in_gap,0.07444141805171967,861.0,increases,aum_growth_since_jan2024_pct,0.06414306163787842,16.2664525584818,increases
lead_58,0,2025-01-03 00:00:00,0.3067948818206787,0,firm_rep_count_at_contact,0.127157062292099,0.0,increases,current_firm_tenure_months,0.12350739538669586,32.0,increases,days_in_gap,0.1184682846069336,94.0,increases
lead_59,0,2025-01-04 00:00:00,0.27613964676856995,0,current_firm_tenure_months,0.18172740936279297,31.0,increases,firm_rep_count_at_contact,0.12242639064788818,0.0,increases,days_in_gap,0.07296299934387207,279.0,increases
lead_60,0,2025-01-05 00:00:00,0.5127672553062439,0,days_in_gap,0.2923436164855957,91.0,increases,current_firm_tenure_months,0.28483039140701294,16.0,increases,firm_rep_count_at_contact,0.14703169465065002,0.0,increases
lead_61,0,2025-01-06 00:00:00,0.3433465361595154,0,days_in_gap,0.14605341851711273,800.0,increases,industry_tenure_months,-0.08596014976501465,114.0,decreases,aum_growth_since_jan2024_pct,0.08529269695281982,16.2664525584818,increases
lead_62,0,2025-01-07 00:00:00,0.5716584920883179,0,current_firm_tenure_months,0.3561427891254425,10.0,increases,days_in_gap,0.31960436701774597,87.0,increases,firm_rep_count_at_contact,0.20382821559906006,0.0,increases
lead_63,0,2025-01-08 00:00:00,0.38749152421951294,0,days_in_gap,0.18341249227523804,89.0,increases,current_firm_tenure_months,0.169215127825737,31.0,increases,firm_rep_count_at_contact,0.16084878146648407,0.0,increases
lead_64,0,2025-01-09 00:00:00,0.17617298662662506,0,num_prior_firms,-0.1304202526807785,0.0,decreases,firm_aum_pit,-0.053367480635643005,41695726722.0,decreases,days_in_gap,0.03373773396015167,2406.0,increases
lead_65,0,2025-01-10 00:00:00,0.16764529049396515,0,aum_growth_since_jan2024_pct,0.04996960610151291,16.2664525584818,increases,current_firm_tenure_months,0.038368746638298035,93.0,increases,num_prior_firms,-0.02368883788585663,0.0,decreases
lead_66,0,2025-01-11 00:00:00,0.16865721344947815,0,firm_aum_pit,-0.034560561180114746,41695726722.0,decreases,current_firm_tenure_months,0.03374314308166504,76.0,increases,aum_growth_since_jan2024_pct,0.03225205838680267,16.2664525584818,increases
lead_67,0,2025-01-12 00:00:00,0.07103363424539566,0,current_firm_tenure_months,-0.16790476441383362,315.0,decreases,days_in_gap,0.035426754504442215,5789.0,increases,firm_rep_count_at_contact,-0.012768678367137909,500.0,decreases
lead_68,0,2025-01-13 00:00:00,0.039072249084711075,0,current_firm_tenure_months,-0.2420753538608551,231.0,decreases,days_in_gap,0.016383713111281395,5792.0,increases,industry_tenure_months,-0.010983917862176895,206.0,decreases
lead_69,0,2025-01-14 00:00:00,0.40040528774261475,0,days_in_gap,0.2733319401741028,0.0,increases,firm_rep_count_at_contact,-0.13460612297058105,462.0,decreases,current_firm_tenure_months,0.1147591769695282,66.0,increases
lead_70,0,2025-01-15 00:00:00,0.020269878208637238,0,current_firm_tenure_months,-0.1424592137336731,209.0,decreases,num_prior_firms,-0.009754493832588196,1.0,decreases,industry_tenure_months,-0.007950827479362488,47.0,decreases
lead_71,0,2025-01-16 00:00:00,0.23121556639671326,0,current_firm_tenure_months,0.0671069473028183,51.0,increases,days_in_gap,0.0668475329875946,944.0,increases,firm_aum_pit,-0.06241711974143982,41695726722.0,decreases
lead_72,0,2025-01-17 00:00:00,0.23123790323734283,0,current_firm_tenure_months,-0.0640891045331955,63.0,decreases,firm_rep_count_at_contact,-0.05027054250240326,459.0,decreases,days_in_gap,0.05021388828754425,356.0,increases
lead_73,0,2025-01-18 00:00:00,0.3468320071697235,0,days_in_gap,0.19592399895191193,10.0,increases,firm_rep_count_at_contact,-0.13094717264175415,459.0,decreases,aum_growth_since_jan2024_pct,0.07152920961380005,16.2664525584818,increases
lead_74,0,2025-01-19 00:00:00,0.20681315660476685,0,current_firm_tenure_months,-0.19516265392303467,130.0,decreases,days_in_gap,0.06915596127510071,2428.0,increases,aum_growth_since_jan2024_pct,0.047054603695869446,16.2664525584818,increases
lead_75,0,2025-01-20 00:00:00,0.0573461651802063,0,current_firm_tenure_months,-0.3003840744495392,175.0,decreases,days_in_gap,-0.045202627778053284,4423.0,decreases,industry_tenure_months,0.020285233855247498,8.0,increases
