lead_id,advisor_crd,contacted_date,target,total_jobs,days_since_last_move,current_tenure_days,avg_prior_tenure_days,prior_job_tenure_days,second_prior_job_tenure_days,moves_3yr_verified,tenure_decay_ratio,move_acceleration_ratio,recency_tier
00QVS000007azhl2AA,6844751,2024-06-07,0,3,-230,2151,272.0,2151,272,0,7.91,7.91,Very Recent (< 6mo)
00QVS000007azhq2AA,6141317,2024-06-07,0,3,2472,,465.3333333333333,429,538,0,,0.8,Distant (> 2yr)
00QVS000007azhy2AA,5938840,2024-06-07,0,3,-272,2376,1246.0,2365,1246,0,1.91,1.9,Very Recent (< 6mo)
00QVS000007azi32AA,5999160,2024-06-07,0,3,1829,,1730.6666666666667,1710,1772,0,,0.97,Distant (> 2yr)
00QVS000007aziB2AQ,6828752,2024-06-07,0,3,1360,1297,551.5,643,460,0,2.35,1.4,Distant (> 2yr)
00QVS000007aziP2AQ,6798327,2024-06-07,0,3,2432,,109.66666666666667,103,123,0,,0.84,Distant (> 2yr)
00QVS000007b7ld2AA,6485368,2024-06-05,0,3,1724,,174.33333333333334,172,179,0,,0.96,Distant (> 2yr)
00QVS000007b7lg2AA,1496076,2024-06-05,0,3,10908,,1317.6666666666667,2226,779,0,,2.86,Distant (> 2yr)
00QVS000007b7mP2AQ,5858361,2024-06-12,1,3,2441,,1049.0,1390,407,0,,3.42,Distant (> 2yr)
00QVS000007b7mR2AQ,6953715,2024-06-05,0,3,1143,,429.0,308,671,0,,0.46,Distant (> 2yr)
00QVS000007b7oH2AQ,6106173,2024-06-05,0,3,1640,,1165.6666666666667,958,1581,0,,0.61,Distant (> 2yr)
00QVS000007b7oN2AQ,6588267,2024-06-05,0,3,-274,3363,,3303,3363,0,,0.98,Very Recent (< 6mo)
00QVS000007b7oO2AQ,6419858,2024-06-05,0,3,-274,3670,,2509,3670,0,,0.68,Very Recent (< 6mo)
00QVS000007b7oj2AA,6599076,2024-06-12,1,3,2708,,286.0,275,308,0,,0.89,Distant (> 2yr)
00QVS000007b7on2AA,4285536,2024-06-12,0,3,5490,,1227.0,2923,126,0,,23.2,Distant (> 2yr)
00QVS000007b7oy2AA,4474141,2024-06-05,1,3,2147,1779,1880.5,2940,821,0,0.95,3.58,Distant (> 2yr)
00QVS000007b7p72AA,6241527,2024-06-05,0,3,2898,,956.6666666666666,938,994,0,,0.94,Distant (> 2yr)
00QVS000007b7pC2AQ,4736154,2024-06-05,0,3,21,,3013.6666666666665,2984,3073,3,,0.97,Very Recent (< 6mo)
00QVS000007b7pP2AQ,4919492,2024-06-05,0,3,3470,,1283.3333333333335,3189,193,0,,16.52,Distant (> 2yr)
00QVS000007fWLy2AM,6557909,2024-06-09,0,3,1208,,1092.0,1352,575,0,,2.35,Distant (> 2yr)
00QVS000007fWM42AM,5964038,2024-10-15,0,3,3548,,448.66666666666663,588,184,0,,3.2,Distant (> 2yr)
00QVS000007fWM72AM,6437435,2024-06-08,0,3,2733,,696.6666666666666,495,636,0,,0.78,Distant (> 2yr)
00QVS000007fWM92AM,5673884,2024-10-15,0,3,4662,,77.0,43,145,0,,0.3,Distant (> 2yr)
00QVS000007fWMD2A2,6213876,2024-06-08,0,3,2633,1603,1013.5,764,1263,0,1.58,0.6,Distant (> 2yr)
00QVS000007fWML2A2,5486385,2024-06-09,0,3,2384,,1932.0,2865,109,0,,26.28,Distant (> 2yr)
00QVS000007fWMi2AM,6590585,2024-06-08,0,3,-368,3409,,3173,3409,0,,0.93,Very Recent (< 6mo)
00QVS000007fWMx2AM,5356237,2024-06-09,0,3,3854,,1142.6666666666667,415,1914,0,,0.22,Distant (> 2yr)
00QVS000007fWNE2A2,6738897,2024-06-08,0,3,1816,,343.6666666666667,454,136,0,,3.34,Distant (> 2yr)
00QVS000007fWNF2A2,5549041,2024-06-08,0,3,4582,,1311.3333333333335,375,119,1,,3.15,Distant (> 2yr)
00QVS000007fWNK2A2,6648045,2024-06-09,0,3,664,,1474.3333333333333,1511,1511,3,,1.0,Moderate (1-2yr)
00QVS000007fWNP2A2,6435589,2024-06-08,0,3,2808,,385.0,269,477,0,,0.56,Distant (> 2yr)
00QVS000007fWNt2AM,5628569,2024-06-09,0,3,1103,,356.33333333333337,782,99,1,,7.9,Distant (> 2yr)
00QVS000007fWO32AM,5576415,2024-06-14,0,3,3952,,1764.6666666666665,1113,619,1,,1.8,Distant (> 2yr)
00QVS000007fWOJ2A2,5650795,2024-06-07,0,3,2613,,2884.0,2877,2898,0,,0.99,Distant (> 2yr)
00QVS000007fWOM2A2,2894797,2024-06-09,0,3,7941,,961.3333333333333,291,291,0,,1.0,Distant (> 2yr)
00QVS000007fWON2A2,5541714,2024-06-08,0,3,3011,3001,2262.5,1795,2730,0,1.33,0.66,Distant (> 2yr)
00QVS0000082ZM32AM,6011756,2024-06-18,0,3,3372,,418.33333333333337,192,871,0,,0.22,Distant (> 2yr)
00QVS0000082ZMU2A2,5914383,2024-12-10,0,3,2629,,15.666666666666668,9,29,0,,,Distant (> 2yr)
00QVS0000082ZMf2AM,6108882,2024-06-18,0,3,1428,,1839.3333333333335,2731,56,0,,48.77,Distant (> 2yr)
00QVS0000082ZMh2AM,7188538,2024-06-18,0,3,1176,,371.3333333333333,315,484,0,,0.65,Distant (> 2yr)
00QVS0000082ZMk2AM,4683353,2024-06-18,0,3,889,,3723.333333333333,5465,281,2,,19.45,Distant (> 2yr)
